vru+line,date,q_start,q_exit,q_time,ser_start,ser_exit,ser_time,server,caja
AA0216,991201,0:00:00,0:00:00,0,7:01:48,7:08:31,403,Z2ARIE,1
AA0216,991201,0:00:00,0:00:00,0,7:54:09,7:56:44,155,Z2ARIE,1
AA0216,991201,0:00:00,0:00:00,0,8:37:56,8:39:01,65,Z2ARIE,1
AA0216,991201,9:14:13,9:14:38,25,9:14:37,9:21:18,401,Z2ARIE,1
AA0216,991201,0:00:00,0:00:00,0,9:23:35,9:26:15,160,Z2ARIE,1
AA0216,991201,9:29:11,9:34:43,332,9:34:42,9:36:08,86,Z2ARIE,1
AA0216,991201,0:00:00,0:00:00,0,9:45:40,9:47:19,99,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,9:51:05,9:53:48,163,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,9:57:59,9:59:33,94,Z2SPIEGEL,1
AA0216,991201,9:58:33,9:59:21,48,9:59:21,10:55:34,3373,Z2NIRIT,2
AA0216,991201,0:00:00,0:00:00,0,10:22:09,10:35:52,823,Z2SPIEGEL,2
AA0216,991201,0:00:00,0:00:00,0,11:17:29,11:18:02,33,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,11:28:07,11:29:38,91,Z2NIRIT,1
AA0216,991201,0:00:00,0:00:00,0,11:41:16,11:59:12,1076,Z2NIRIT,1
AA0216,991201,11:52:16,11:59:05,409,11:59:04,12:00:22,78,Z2SPIEGEL,2
AA0216,991201,0:00:00,0:00:00,0,12:19:39,12:32:11,752,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,12:39:18,12:40:51,93,Z2NIRIT,1
AA0216,991201,0:00:00,0:00:00,0,12:47:13,12:48:29,76,Z2NIRIT,1
AA0216,991201,0:00:00,0:00:00,0,13:24:14,13:35:00,646,Z2NIRIT,1
AA0216,991201,0:00:00,0:00:00,0,13:44:34,13:50:45,371,Z2SPIEGEL,1
AA0216,991201,13:49:19,13:50:26,67,13:50:26,13:51:27,61,Z2NIRIT,2
AA0216,991201,0:00:00,0:00:00,0,13:59:06,14:12:25,799,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,14:10:11,14:11:21,70,Z2NIRIT,2
AA0216,991201,0:00:00,0:00:00,0,14:48:22,14:52:48,266,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,15:06:18,15:07:41,83,Z2NIRIT,1
AA0216,991201,0:00:00,0:00:00,0,16:17:10,16:19:36,146,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,16:22:08,16:23:12,64,Z2SPIEGEL,1
AA0216,991201,0:00:00,0:00:00,0,16:33:35,17:05:06,1891,Z2NIRIT,1
AA0216,991201,0:00:00,0:00:00,0,17:48:23,17:57:29,546,Z2ELINOR,1
AA0216,991201,17:50:40,17:57:35,415,17:57:34,18:00:42,188,Z2ELINOR,1
AA0216,991201,0:00:00,0:00:00,0,18:04:21,18:06:38,137,Z2NIRIT,1
AA0216,991201,18:14:20,18:15:38,78,18:15:37,18:38:29,1372,Z2NIRIT,1
AA0216,991201,18:31:07,18:32:25,78,18:32:24,18:35:23,179,Z2ELINOR,2
AA0216,991201,18:54:24,18:59:38,314,18:59:37,19:06:58,441,Z2EYAL,1
AA0216,991201,18:59:59,19:07:03,424,19:07:02,19:17:08,606,Z2EYAL,1
AA0216,991201,19:17:02,19:17:13,11,19:17:12,19:25:54,522,Z2EYAL,1
AA0216,991201,19:18:28,19:25:59,451,19:25:58,19:51:13,1515,Z2EYAL,1
AA0216,991201,19:47:42,19:53:02,320,19:53:01,19:54:32,91,Z2ELINOR,1
AA0216,991201,20:03:06,20:11:58,532,20:11:57,20:14:21,144,Z2ELINOR,1
AA0216,991201,20:24:09,20:26:57,168,20:26:57,20:28:31,94,Z2ELINOR,1
AA0216,991201,20:49:40,20:51:12,92,20:51:11,20:52:24,73,Z2EYAL,1
AA0216,991201,0:00:00,0:00:00,0,21:02:54,21:03:34,40,Z2ELINOR,1
AA0216,991201,21:10:24,21:10:41,17,21:10:40,21:45:19,2079,Z2ELINOR,1
AA0216,991201,21:23:16,21:31:51,515,21:31:51,21:48:53,1022,Z2EYAL,2
AA0216,991201,21:51:29,21:53:00,91,21:53:00,22:00:07,427,Z2ELINOR,1
AA0216,991201,0:00:00,0:00:00,0,22:15:31,22:16:39,68,Z2ELINOR,1
AA0216,991201,22:23:58,22:24:02,4,22:24:02,22:29:05,303,Z2EYAL,1
AA0216,991201,0:00:00,0:00:00,0,22:39:31,22:45:57,386,Z2ELINOR,1
AA0216,991201,23:06:32,23:07:03,31,23:07:03,23:07:50,47,Z2EYAL,1
AA0216,991201,0:00:00,0:00:00,0,23:45:38,23:50:27,289,Z2ELINOR,1
AA0216,991202,0:00:00,0:00:00,0,8:32:01,9:10:27,2306,Z2OFERZ,1
AA0216,991202,0:00:00,0:00:00,0,9:13:22,9:38:42,1520,Z2OFERZ,1
AA0216,991202,9:43:35,9:44:09,34,9:44:08,10:12:40,1712,Z2OFERZ,1
AA0216,991202,10:00:48,10:03:09,141,10:03:09,10:07:48,279,Z2LIOR,2
AA0216,991202,0:00:00,0:00:00,0,10:10:03,10:15:24,321,Z2LIOR,2
AA0216,991202,0:00:00,0:00:00,0,10:16:38,10:25:32,534,Z2OFERZ,1
AA0216,991202,0:00:00,0:00:00,0,10:45:20,10:46:54,94,Z2OFERZ,1
AA0216,991202,10:58:05,11:02:22,257,11:02:22,11:13:07,645,Z2OFERZ,1
AA0216,991202,0:00:00,0:00:00,0,11:19:23,11:53:07,2024,Z2OFERZ,1
AA0216,991202,11:26:31,11:27:58,87,11:27:57,11:41:45,828,Z2LIOR,2
AA0216,991202,11:48:06,11:53:27,321,11:53:26,12:01:11,465,Z2OFERZ,1
AA0216,991202,12:01:42,12:04:04,142,12:04:03,12:06:37,154,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,12:56:16,12:58:16,120,Z2EYAL,1
AA0216,991202,13:09:09,13:13:31,262,13:13:30,13:21:22,472,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,13:24:20,13:32:48,508,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,13:45:21,13:50:50,329,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,14:34:28,14:54:01,1173,Z2OFERZ,1
AA0216,991202,0:00:00,0:00:00,0,15:09:00,15:12:00,180,Z2LIOR,1
AA0216,991202,0:00:00,0:00:00,0,15:15:25,15:16:21,56,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,15:20:59,15:22:35,96,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,15:29:12,15:30:07,55,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,15:57:44,16:10:23,759,Z2LIOR,1
AA0216,991202,16:07:33,16:07:55,22,16:07:54,16:08:27,33,Z2EYAL,2
AA0216,991202,0:00:00,0:00:00,0,16:27:29,16:41:28,839,Z2EYAL,1
AA0216,991202,0:00:00,0:00:00,0,16:41:28,17:07:51,1583,Z2NIRIT,1
AA0216,991202,16:48:19,16:49:16,57,16:49:14,17:08:05,1131,Z2EYAL,2
AA0216,991202,0:00:00,0:00:00,0,17:17:55,17:26:45,530,Z2NIRIT,1
